Year,Bananas,"Cassava, fresh","Coffee, green",Tea leaves,avg_temperature,Agrifood Systems Waste Disposal,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Energy,Enteric Fermentation,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPPU,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
1961,15420.0,5321.1,447.0,111.6,0.06408823529411765,,17.97882,23.290960000000002,,,,102.90603333333333,1316.434,,,,,,,,,,205.6997,32.18267142857143,13.95968,364.73918,,,0.219,,9.9104,,4.1477,13.5498
1962,15685.0,5309.7,450.0,183.3,0.09588235294117646,,18.4092,24.557119999999998,,,,105.57566666666668,1323.7052999999999,,,,,,,,,,179.59753333333333,32.16981428571429,13.89582,367.25023999999996,,,0.22,,12.885799999999998,,4.1477,13.9457
1963,15777.8,5299.1,357.3,319.3,0.22164705882352942,,17.97654,25.025280000000002,,,,109.46863333333333,1400.604,,,,,,,,,,189.66600000000003,34.10742857142857,14.608700000000002,388.7324,,,0.2211,,18.2153,,5.53025,14.36205
1964,16111.1,5301.8,394.0,448.7,0.0751470588235294,,17.138939999999998,24.6848,,,,121.92146666666667,1256.9165,,,,,,,,,,200.33726666666666,32.118271428571425,14.427859999999999,353.14158,,,0.2221,,16.8929,,6.9261,14.7987
1965,16875.0,5400.0,463.1,713.1,0.10676470588235294,,17.09868,24.014499999999998,,,,113.59306666666667,1346.036,,,,,,,,,,210.85326666666666,33.47681428571429,14.725760000000003,377.4008,,,0.2231,,14.5388,,8.30865,15.25555
1966,16250.0,5398.2,395.6,896.6,0.17229411764705882,,16.79706,25.08912,,,,124.82650000000001,1463.4084999999998,,,,,,,,,,221.4766,36.383514285714284,16.066399999999998,412.36384,,,0.2242,,18.6884,,17.44155,15.73335
1967,15555.6,5403.2,388.3,1017.6,0.11938235294117648,,16.54218,22.077999999999996,,,,164.18303333333333,1462.05,,,,,,,,,,270.5773,35.39197142857143,15.332240000000002,414.6940000000001,,,0.2252,,20.5979,,23.596625000000003,16.23295
1968,16000.0,5500.3,380.0,1354.0,0.11679411764705883,,17.417759999999998,22.365280000000002,,,,179.09339999999997,1506.5955000000001,,,,,,,,,,280.4597,40.19777142857142,18.86474,427.25984,,,0.2262,,18.8993,,29.698500000000003,16.75515
1969,16000.0,5501.1,380.5,1239.5,0.27676470588235297,,17.31786,26.897900000000003,,,,202.5685666666667,1636.0614999999998,,,,,,,,,,289.31923333333333,43.78852857142857,20.599040000000002,463.55288,,,0.2273,,19.6726,,24.460724999999996,17.3008
1970,17272.7,5502.7,422.7,1408.2,0.2321176470588235,,18.62268,25.887120000000003,,,,219.15203333333338,1793.22,,,,,,,,,,292.30373333333335,48.16961428571428,23.13136,505.58088,,,0.2273,,22.0419,,32.011624999999995,18.3062
1971,18181.8,5601.3,329.3,1506.1,0.08520588235294117,,19.836720000000003,28.015120000000003,,,,258.2493,1898.0999999999997,,,,,,,,,,315.1250333333333,51.711400000000005,25.1636,533.37256,,,0.2297,,20.8164,,24.9127,19.27845
1972,18181.8,5599.7,341.0,1734.9,0.2326176470588235,,19.96548,27.1852,,,,270.6807,1798.92,,,,,,,,,,320.16876666666667,52.124028571428575,26.55742,508.0387199999999,,,0.2369,,22.4884,,20.206675,20.01165
1973,21818.2,5601.2,329.0,1969.2,0.4428529411764706,,21.22662,27.727839999999997,,,,280.6927333333333,1754.46,,,,,,,,,,331.024,51.39445714285714,26.2808,493.86623999999995,,,0.2453,,25.1731,,25.8167,20.7906
